,Year,WHO,Climate,Health,Intersection
0,2011.0,South-East Asia,0.0,1.0,0.0
1,2012.0,South-East Asia,0.0,1.0,0.0
2,2013.0,South-East Asia,0.0,1.0,0.0
3,2014.0,South-East Asia,0.0,1.0,0.0
4,2015.0,South-East Asia,0.0,1.0,0.0
5,2016.0,South-East Asia,0.0,1.0,0.0
6,2017.0,South-East Asia,0.0,1.0,0.0
7,2018.0,South-East Asia,0.0,1.0,0.0
8,2019.0,South-East Asia,0.0,1.0,0.0
9,2020.0,South-East Asia,0.0,1.0,0.0
10,2021.0,South-East Asia,0.36,0.82,0.0
11,2022.0,South-East Asia,0.17,0.75,0.0
12,2023.0,South-East Asia,1.0,1.0,1.0
