,Sector,intersection,health,climate
0,aerospace & defense,5.59,69.32,68.64
1,alternative energy,2.8,38.52,58.55
2,automobiles & parts,3.87,63.51,79.68
3,banks,3.2,53.2,82.68
4,beverages,4.17,63.65,52.12
5,chemicals,4.24,66.45,56.41
6,construction & materials,3.59,49.97,46.94
7,diversified,3.08,47.45,54.43
8,electricity,4.79,65.88,121.37
9,electronic & electrical equ...,3.18,55.68,72.35
10,finance and credit services,3.33,42.76,70.19
11,food producers,4.01,61.58,37.05
12,"gas, water & multiutilities",5.06,70.48,77.78
13,general industrials,2.69,43.43,38.64
14,household goods & home cons...,3.96,64.38,54.89
15,industrial engineering,2.47,36.86,43.46
16,industrial materials,3.48,51.09,48.07
17,industrial metals and mining,5.75,82.76,74.58
18,industrial support services,1.72,28.93,28.49
19,industrial transportation,2.73,46.18,48.02
20,investment banking and brokerage services,2.04,21.19,48.37
21,leisure goods,2.0,51.65,36.88
22,life insurance,7.94,100.56,82.06
23,media,1.54,34.56,31.12
24,medical equipment and services; health care providers,6.92,133.2,26.3
25,nonlife insurance,4.69,89.07,70.49
26,not applicable,0.63,13.46,7.94
27,"oil, gas, & coal",5.5,69.92,95.97
28,open end and miscellaneous investment vehicles,0.75,7.25,14.0
29,personal goods,4.88,57.05,45.87
30,pharmaceuticals & biotechno...,12.19,178.24,47.75
31,real estate investment & se...,3.06,51.06,61.05
32,real estate investment trusts,7.1,70.57,97.52
33,retailers,2.99,54.44,49.22
34,software & computer services,2.51,38.14,49.82
35,technology hardware & equip...,4.05,59.75,67.32
36,telecommunications equipment; telecommunications service providers,3.66,62.3,78.98
37,travel & leisure,1.74,40.71,36.58
